timestamp,trecho_errado,correcao,termo_canonico,classe,status
0:02,SEMIG,CEMIG,CEMIG,companhia,certo
0:08,semig,CEMIG,CEMIG,companhia,certo
0:13,semig,CEMIG,CEMIG,companhia,certo
0:33,SEMIG,CEMIG,CEMIG,companhia,certo
0:58,BU hold,buy and hold,buy and hold,estrangeirismo,certo
1:14,semix,CEMIG,CEMIG,companhia,certo
2:49,SEMIG,CEMIG,CEMIG,companhia,certo
2:51,SEMIG,CEMIG,CEMIG,companhia,certo
2:53,SEMIG,CEMIG,CEMIG,companhia,certo
2:55,ADUS NSS,Adeus INSS,Adeus INSS,serie do canal,conferido
2:58,ADUS NSS,Adeus INSS,Adeus INSS,serie do canal,conferido
3:22,mississões,Tanto as emissões,emissão,operacao,conferido
3:36,EBA,EBITDA,EBITDA,indicador,certo
3:50,segundo trad de 2025,segundo tri de 2025,tri,periodo,certo
4:02,SEMIG,CEMIG,CEMIG,companhia,certo
4:08,SEMIG,CEMIG,CEMIG,companhia,certo
4:39,SEMIG,CEMIG,CEMIG,companhia,certo
5:03,Gas MIG,Gasmig,Gasmig,companhia,certo
5:04,SEMIG,CEMIG,CEMIG,companhia,certo
5:13,4.6 B,"4,6 bi",bi,unidade,certo
5:13,SEMigd,Cemig D,Cemig D,companhia,certo
5:16,debentories,debêntures,debêntures,instrumento,certo
5:18,GT,Cemig GT,Cemig GT,companhia,certo
5:22,debentories,debêntures,debêntures,instrumento,certo
5:55,SEMIG,CEMIG,CEMIG,companhia,certo
6:04,Word,Ward,Ward,ferramenta,conferido
6:06,SEMIG,CEMIG,CEMIG,companhia,certo
7:10,SEMIG,CEMIG,CEMIG,companhia,certo
7:14,semig,CEMIG,CEMIG,companhia,certo
7:21,SEMI,CEMIG,CEMIG,companhia,certo
7:24,SEMIG,CEMIG,CEMIG,companhia,certo
7:24,SEMIC,CEMIG,CEMIG,companhia,certo
7:30,Léo ruim,"manter (locutor: ""Leo, ruim?"")",,fala comum,manter
7:46,PCA,IPCA,IPCA,indice,certo
7:50,PCA,IPCA,IPCA,indice,certo
8:04,Ebítida,EBITDA,EBITDA,indicador,certo
8:22,ebíta,EBITDA,EBITDA,indicador,certo
8:22,ebíta,EBITDA,EBITDA,indicador,certo
8:24,segundo trio 2026,segundo tri 2026,tri,periodo,certo
8:32,no bank,Nubank,Nubank,companhia,certo
8:36,financii,financiei,,fala comum,certo
8:49,10 men 1,10 menos 1,,fala comum,certo
8:59,SEMIG,CEMIG,CEMIG,companhia,certo
8:59,segundo TR de 2025,segundo tri de 2025,tri,periodo,certo
9:10,tir,TIR,,indicador,so_caixa
9:13,tir,TIR,,indicador,so_caixa
9:24,SEMIG,CEMIG,CEMIG,companhia,certo
9:28,SEMIG,CEMIG,CEMIG,companhia,certo
9:31,semig,CEMIG,CEMIG,companhia,certo
9:35,web ebita,EBITDA,EBITDA,indicador,certo
10:21,sobre bit,sobre EBITDA,EBITDA,indicador,certo
10:27,dívida livre,manter (locutor disse assim),dívida líquida,indicador,manter
10:44,SEMIX,CEMIG,CEMIG,companhia,certo
10:59,Ox,OPEX,OPEX,indicador,certo
10:59,Ox,OPEX,OPEX,indicador,certo
11:03,O PX,OPEX,OPEX,indicador,certo
11:03,Ox,OPEX,OPEX,indicador,certo
11:20,Ox,OPEX,OPEX,indicador,certo
12:19,Geração de Dentes,Geração Dividendos,Geração Dividendos,canal,certo
12:31,vai m rápido,vai mais rápido,,fala comum,certo
12:36,SEMIC,CEMIG,CEMIG,companhia,certo
12:48,2013,2030,,numero,conferido
12:51,44 bilhões deais,44 bilhões de reais,reais,unidade,certo
12:54,SEMIG,CEMIG,CEMIG,companhia,certo
